n	Nstrings	Entropy		Saturation Value	Entropy Density	Saturation Value
1 	7236 		4.15649232538 	12.8209766926 		4.15649232538 	12.8209766926
2 	7235 		7.60291851056 	12.8207773014 		3.80145925528 	6.41038865071
3 	7234 		9.93730778729 	12.8205778827 		3.3124359291 	4.27352596089
4 	7233 		11.0616355177 	12.8203784363 		2.76540887942 	3.20509460908
5 	7232 		11.6125072243 	12.8201789624 		2.32250144486 	2.56403579248
6 	7231 		11.9450573561 	12.8199794609 		1.99084289268 	2.13666324349
7 	7230 		12.1753683659 	12.8197799318 		1.73933833798 	1.83139713312
8 	7229 		12.343671997 	12.8195803752 		1.54295899963 	1.60244754689
9 	7228 		12.4684002603 	12.8193807909 		1.3853778067 	1.42437564343
10 	7227 		12.5536388486 	12.819181179 		1.25536388486 	1.2819181179
11 	7226 		12.6099993533 	12.8189815394 		1.14636357757 	1.16536195813
12 	7225 		12.6491596107 	12.8187818723 		1.05409663423 	1.06823182269
13 	7224 		12.679607101 	12.8185821775 		0.975354392386 	0.986044782883
14 	7223 		12.7036578631 	12.818382455 		0.90740413308 	0.915598746789
15 	7222 		12.7221708874 	12.8181827049 		0.848144725826 	0.854545513663
16 	7221 		12.737278294 	12.8179829272 		0.796079893378 	0.80112393295
17 	7220 		12.7498968385 	12.8177831218 		0.749993931674 	0.753987242457
18 	7219 		12.760093394 	12.8175832887 		0.708894077442 	0.712087960482
19 	7218 		12.7675760332 	12.8173834279 		0.671977685957 	0.674599127784
20 	7217 		12.7735705579 	12.8171835394 		0.638678527896 	0.640859176971
21 	7216 		12.7772448639 	12.8169836233 		0.608440231614 	0.610332553488
22 	7215 		12.7809202161 	12.8167836794 		0.580950918914 	0.582581076335
23 	7214 		12.784596615 	12.8165837078 		0.555852026738 	0.557242769904
24 	7213 		12.7877195067 	12.8163837085 		0.532821646112 	0.534015987853
25 	7212 		12.7900113454 	12.8161836814 		0.511600453816 	0.512647347257
26 	7211 		12.7920264935 	12.8159836267 		0.492001018979 	0.492922447179
27 	7210 		12.7940422282 	12.8157835441 		0.473853415861 	0.474658649783
28 	7209 		12.795781119 	12.8155834339 		0.456992182823 	0.457699408352
29 	7208 		12.7975205201 	12.8153832958 		0.441293811037 	0.441909768821
30 	7207 		12.7992604316 	12.81518313 		0.426642014386 	0.427172771
31 	7206 		12.8008280655 	12.8149829364 		0.412929937596 	0.413386546336
32 	7205 		12.8017362196 	12.8147827151 		0.400054256862 	0.400461959846
33 	7204 		12.8026446536 	12.8145824659 		0.387958928896 	0.388320680785
34 	7203 		12.8035533676 	12.814382189 		0.376575099048 	0.376893593793
35 	7202 		12.8044623618 	12.8141818842 		0.365841781767 	0.366119482405
36 	7201 		12.8053716363 	12.8139815516 		0.355704767676 	0.355943931989
37 	7200 		12.8062811912 	12.8137811912 		0.346115707871 	0.346318410573
38 	7199 		12.8069132103 	12.813580803 		0.337024031849 	0.337199494816
39 	7198 		12.8072675778 	12.8133803869 		0.328391476354 	0.328548215049
40 	7197 		12.8076220717 	12.813179943 		0.320190551792 	0.320329498575
41 	7196 		12.8079766919 	12.8129794713 		0.312389675413 	0.312511694421
42 	7195 		12.8083314386 	12.8127789716 		0.304960272348 	0.305066165991
43 	7194 		12.8086863118 	12.8125784441 		0.297876425856 	0.297966940561
44 	7193 		12.8090413115 	12.8123778888 		0.291114575262 	0.291190406563
45 	7192 		12.8093964379 	12.8121773055 		0.284653254175 	0.284715051234
46 	7191 		12.8097516909 	12.8119766944 		0.278472862846 	0.278521232486
47 	7190 		12.8101070706 	12.8117760553 		0.272555469588 	0.272590979901
48 	7189 		12.8104625771 	12.8115753884 		0.266884637024 	0.266907820591
49 	7188 		12.810539969 	12.8113746935 		0.261439591203 	0.261456626398
50 	7187 		12.8106174103 	12.8111739707 		0.256212348205 	0.256223479414
