n	Nstrings	Entropy		Saturation Value	Entropy Density	Saturation Value
1 	135003 		4.18211943964 	17.0426319412 		4.18211943964 	17.0426319412
2 	135002 		7.82446449364 	17.0426212548 		3.91223224682 	8.52131062741
3 	135001 		10.9012660955 	17.0426105683 		3.63375536517 	5.68087018943
4 	135000 		13.2702819651 	17.0425998817 		3.31757049127 	4.26064997043
5 	134999 		14.8311918701 	17.042589195 		2.96623837402 	3.40851783901
6 	134998 		15.7526093921 	17.0425785083 		2.62543489868 	2.84042975138
7 	134997 		16.2638343991 	17.0425678215 		2.32340491415 	2.43465254592
8 	134996 		16.550749162 	17.0425571346 		2.06884364524 	2.13031964182
9 	134995 		16.7177264214 	17.0425464476 		1.85752515793 	1.89361627195
10 	134994 		16.8171752261 	17.0425357605 		1.68171752261 	1.70425357605
11 	134993 		16.8818316954 	17.0425250734 		1.53471197231 	1.54932046121
12 	134992 		16.926501073 	17.0425143861 		1.41054175609 	1.42020953218
13 	134991 		16.9607669278 	17.0425036988 		1.30467437906 	1.31096182299
14 	134990 		16.9850443049 	17.0424930115 		1.21321745035 	1.21732092939
15 	134989 		17.00005307 	17.042482324 		1.13333687133 	1.13616548827
16 	134988 		17.009483252 	17.0424716365 		1.06309270325 	1.06515447728
17 	134987 		17.0156607402 	17.0424609488 		1.00092122001 	1.00249770287
18 	134986 		17.0199830473 	17.0424502611 		0.945554613741 	0.946802792285
19 	134985 		17.0232274791 	17.0424395734 		0.895959341006 	0.896970503861
20 	134984 		17.0256318064 	17.0424288855 		0.85128159032 	0.852121444275
21 	134983 		17.0276842008 	17.0424181976 		0.8108421048 	0.811543723694
22 	134982 		17.0295124131 	17.0424075095 		0.774068746051 	0.774654886798
23 	134981 		17.0311397398 	17.0423968215 		0.740484336511 	0.740973774846
24 	134980 		17.0326225523 	17.0423861333 		0.709692606347 	0.71009942222
25 	134979 		17.0339331741 	17.042375445 		0.681357326966 	0.681695017801
26 	134978 		17.0351845465 	17.0423647567 		0.655199405636 	0.655475567565
27 	134977 		17.0362552578 	17.0423540683 		0.630972416954 	0.631198298825
28 	134976 		17.0370689457 	17.0423433798 		0.608466748062 	0.608655120707
29 	134975 		17.0377524899 	17.0423326912 		0.587508706549 	0.587666644525
30 	134974 		17.0383701309 	17.0423220026 		0.567945671031 	0.568077400086
31 	134973 		17.0389080994 	17.0423113138 		0.549642196754 	0.549751977866
32 	134972 		17.0393745685 	17.042300625 		0.532480455267 	0.532571894532
33 	134971 		17.0398170017 	17.0422899362 		0.51635809096 	0.516433028368
34 	134970 		17.0401026566 	17.0422792472 		0.501179489899 	0.50124350727
35 	134969 		17.040338268 	17.0422685581 		0.486866807658 	0.486921958804
36 	134968 		17.0405498395 	17.042257869 		0.473348606653 	0.473396051917
37 	134967 		17.0407465958 	17.0422471798 		0.460560718805 	0.46060127513
38 	134966 		17.040943355 	17.0422364905 		0.448445877764 	0.448479907646
39 	134965 		17.0411252986 	17.0422258012 		0.436951930734 	0.436980148748
40 	134964 		17.0412479699 	17.0422151117 		0.426031199248 	0.426055377793
41 	134963 		17.0413706431 	17.0422044222 		0.415643186418 	0.415663522493
42 	134962 		17.0414784992 	17.0421937326 		0.405749488077 	0.405766517443
43 	134961 		17.0415474931 	17.0421830429 		0.39631505798 	0.396329838208
44 	134960 		17.0416016689 	17.0421723532 		0.387309128839 	0.387322098936
45 	134959 		17.0416410262 	17.0421616633 		0.378703133916 	0.37871470363
46 	134958 		17.0416803842 	17.0421509734 		0.370471312701 	0.3704815429
47 	134957 		17.0417197429 	17.0421402834 		0.362589781764 	0.362598729435
48 	134956 		17.0417591022 	17.0421295934 		0.355036647963 	0.355044366528
49 	134955 		17.0417928686 	17.0421189032 		0.347791691196 	0.347798344963
50 	134954 		17.0418266355 	17.042108213 		0.340836532711 	0.340842164259
